Renewal,Average_Price_Paid_Per_Seat_Previous_Season,Total_Seats_Previous_Season,Team_Win_Pct_Previous_Season,Games_Attended_Previous_Season,Games_Missed_Previous_Season,Total_Games_Previous_Season,Non-Game_Events_Attended_Previous_Season,Phone_Calls_Made_to_Customer_Last_90_Days_Before_Renewal_Date,Live_Phone_Conversations_With_Customer_Last_90_Days_Before_Renewal_Date,Emails_Sent_Last_90_Days_Before_Renewal_Date,Section_Previous_Season,Zip_Code_Distance_From_Stadium,Tenure_As_Season_Ticket_Member,Attendance_Rate,Engaged_In_Events,Renewal_Month
1,277.44,2,0.54,17,0,17,0,0,0,0,3,37.55623245,1,1.0,0,9
1,308.16,2,0.54,14,3,17,4,14,7,1,3,15.34099297,1,0.8235294117647058,1,7
1,449.28,1,0.54,10,7,17,0,19,2,12,3,21.56989477,8,0.5882352941176471,0,7
1,290.88,2,0.54,17,0,17,1,16,4,8,3,25.82196499,4,1.0,1,7
1,449.28,4,0.54,15,2,17,4,18,5,6,3,16.23935352,2,0.8823529411764706,1,7
1,473.28,2,0.54,17,0,17,0,23,3,13,3,20.49591016,8,1.0,0,7
1,449.28,5,0.54,10,7,17,0,23,6,11,3,34.07030886,8,0.5882352941176471,0,8
1,276.48,2,0.54,15,2,17,0,19,1,10,3,20.49591016,8,0.8823529411764706,0,7
1,290.88,1,0.54,15,2,17,0,6,2,4,3,375.0523102,2,0.8823529411764706,0,7
1,277.44,2,0.54,13,4,17,0,31,6,15,3,45.95205181,1,0.7647058823529411,0,7
1,380.16,6,0.54,14,3,17,0,35,16,4,3,15.00254292,2,0.8235294117647058,0,10
1,362.88,2,0.54,1,16,17,0,8,3,4,3,18.10579689,1,0.058823529411764705,0,7
1,94.656,2,0.54,9,8,17,0,11,1,7,3,39.60647237,1,0.5294117647058824,0,7
1,1071.36,3,0.54,12,5,17,0,16,3,10,2,13.46804269,8,0.7058823529411765,0,7
1,432.0,3,0.54,16,1,17,0,25,3,15,3,23.76625678,8,0.9411764705882353,0,7
1,475.2,4,0.54,15,2,17,0,0,0,0,3,12.7413899,1,0.8823529411764706,0,7
1,261.12,2,0.54,9,8,17,0,19,4,11,3,25.26416632,4,0.5294117647058824,0,7
1,382.08,2,0.54,12,5,17,4,53,15,2,3,38.7518719,2,0.7058823529411765,1,8
1,290.88,2,0.54,5,12,17,4,14,3,4,3,40.14704652,2,0.29411764705882354,1,7
1,94.656,1,0.54,8,9,17,0,12,1,8,3,55.21030129,2,0.47058823529411764,0,7
1,473.28,2,0.54,16,1,17,3,25,4,13,3,9.556924115,8,0.9411764705882353,1,7
1,473.28,2,0.54,17,0,17,0,28,1,0,3,84.71676472,8,1.0,0,7
1,328.32,2,0.54,4,13,17,0,29,6,11,3,80.65996866,1,0.23529411764705882,0,7
1,293.76,2,0.54,15,2,17,0,17,2,6,3,36.32519181,1,0.8823529411764706,0,10
1,290.88,2,0.54,17,0,17,0,20,4,6,3,40.30498438,2,1.0,0,7
1,473.28,2,0.54,17,0,17,0,25,7,10,3,26.36386491,6,1.0,0,11
1,449.28,2,0.54,7,10,17,0,16,2,11,3,26.02374625,8,0.4117647058823529,0,7
1,382.08,2,0.54,14,3,17,0,19,1,9,3,36.65261274,8,0.8235294117647058,0,7
1,473.28,1,0.54,8,9,17,0,16,1,0,3,16.31722129,8,0.47058823529411764,0,7
1,276.48,2,0.54,17,0,17,0,19,3,8,3,9.04590558,8,1.0,0,9
1,271.968,4,0.54,4,13,17,0,17,1,7,3,33.78481808,4,0.23529411764705882,0,7
1,308.16,1,0.54,13,4,17,0,0,0,0,3,352.8650212,1,0.7647058823529411,0,7
1,241.92,1,0.54,4,13,17,0,19,3,13,1,12.38848901,1,0.23529411764705882,0,7
1,449.28,4,0.54,16,1,17,2,30,2,16,3,15.02181066,8,0.9411764705882353,1,7
1,240.9408,2,0.54,14,3,17,1,24,3,11,1,35.59152571,6,0.8235294117647058,1,7
1,448.8,4,0.54,8,9,17,0,48,8,6,3,15.02181066,1,0.47058823529411764,0,11
1,94.656,1,0.54,4,13,17,0,13,1,8,3,9.074084291,2,0.23529411764705882,0,7
1,228.3552,2,0.54,8,9,17,0,0,0,0,1,14.83371684,2,0.47058823529411764,0,7
1,382.08,2,0.54,14,3,17,2,5,1,3,3,55.01051459,4,0.8235294117647058,1,7
1,94.656,1,0.54,13,4,17,0,8,1,3,3,11.44321555,1,0.7647058823529411,0,3
1,475.2,4,0.54,13,4,17,0,13,2,5,3,27.53737402,8,0.7647058823529411,0,7
1,226.5408,1,0.54,15,2,17,0,21,3,9,1,5.796056068,8,0.8823529411764706,0,10
1,499.2,4,0.54,12,5,17,0,15,2,0,3,25.98674731,1,0.7058823529411765,0,7
1,94.656,1,0.54,10,7,17,0,13,1,8,3,55.21030129,1,0.5882352941176471,0,7
1,473.28,2,0.54,8,9,17,0,22,3,13,3,50.61361301,8,0.47058823529411764,0,7
1,449.28,2,0.54,7,10,17,0,12,1,6,3,0.00017697,4,0.4117647058823529,0,7
1,473.28,2,0.54,10,7,17,0,8,1,6,3,17.89437434,8,0.5882352941176471,0,3
1,473.28,2,0.54,17,0,17,0,21,0,12,3,23.31775438,8,1.0,0,7
1,362.88,3,0.54,10,7,17,1,15,2,9,3,15.34099297,8,0.5882352941176471,1,7
1,275.52,5,0.54,13,4,17,8,17,1,12,3,23.2389425,1,0.7647058823529411,1,7
1,473.28,4,0.54,17,0,17,3,22,4,7,3,15.64947626,8,1.0,1,10
1,362.88,2,0.54,2,15,17,0,0,0,0,3,88.98008025,2,0.11764705882352941,0,10
1,230.3856,4,0.54,12,5,17,4,17,4,7,1,11.44321555,2,0.7058823529411765,1,7
1,216.0,1,0.54,9,8,17,0,21,13,5,1,34.14664351,1,0.5294117647058824,0,2
1,449.28,2,0.54,8,9,17,0,29,0,12,3,14.83371684,7,0.47058823529411764,0,7
1,293.76,2,0.54,13,4,17,0,0,0,0,3,33.28916579,8,0.7647058823529411,0,10
1,432.0,2,0.54,13,4,17,0,17,4,10,3,33.71821168,1,0.7647058823529411,0,7
1,240.9408,2,0.54,17,0,17,2,12,2,6,1,30.52360175,2,1.0,1,8
1,443.04,8,0.54,17,0,17,0,2,0,3,3,20.16113514,8,1.0,0,10
1,449.28,2,0.54,14,3,17,0,21,2,12,3,15.64707712,8,0.8235294117647058,0,7
1,449.28,2,0.54,13,4,17,0,19,2,10,3,15.76282663,8,0.7647058823529411,0,7
1,473.28,4,0.54,9,8,17,0,27,1,12,3,8.605469492,2,0.5294117647058824,0,7
1,473.28,3,0.54,11,6,17,0,20,2,9,3,20.70241261,8,0.6470588235294118,0,11
1,362.88,2,0.54,5,12,17,0,17,8,1,3,49.56420138,2,0.29411764705882354,0,10
1,228.3552,3,0.54,12,5,17,0,29,2,13,1,21.58337694,5,0.7058823529411765,0,7
1,499.2,2,0.54,12,5,17,0,36,11,2,3,33.02230227,1,0.7058823529411765,0,10
1,226.5408,2,0.54,7,10,17,0,18,3,11,1,12.38848901,8,0.4117647058823529,0,7
1,94.656,1,0.54,14,3,17,0,0,0,0,3,15.22473615,1,0.8235294117647058,0,7
1,362.88,2,0.54,12,5,17,1,17,3,10,3,23.76625678,8,0.7058823529411765,1,7
1,473.28,3,0.54,14,3,17,0,24,1,12,3,22.70926476,8,0.8235294117647058,0,7
1,241.92,1,0.54,17,0,17,2,28,1,10,1,15.00254292,1,1.0,1,7
1,94.656,1,0.54,10,7,17,0,12,1,8,3,9.074084291,1,0.5882352941176471,0,7
1,449.28,8,0.54,5,12,17,0,0,0,0,3,0.00017697,8,0.29411764705882354,0,10
1,293.76,2,0.54,7,10,17,0,27,5,7,3,40.07271239,7,0.4117647058823529,0,10
1,276.48,4,0.54,15,2,17,7,9,5,2,3,8.306478945,8,0.8823529411764706,1,7
1,224.64,5,0.54,2,15,17,0,0,0,6,3,23.76625678,7,0.11764705882352941,0,10
1,240.9408,2,0.54,15,2,17,4,22,5,12,1,14.6576825,2,0.8823529411764706,1,7
1,473.28,4,0.54,13,4,17,1,0,0,6,3,50.53034837,6,0.7647058823529411,1,7
1,473.28,2,0.54,15,2,17,2,14,2,10,3,17.80340804,7,0.8823529411764706,1,7
1,240.9408,3,0.54,17,0,17,1,21,4,13,1,15.64707712,8,1.0,1,7
1,498.24,14,0.54,17,0,17,0,2,0,2,3,1757.660407,2,1.0,0,7
1,473.28,2,0.54,16,1,17,2,23,4,13,3,20.49591016,8,0.9411764705882353,1,7
1,94.656,1,0.54,13,4,17,1,10,1,6,3,5.796056068,1,0.7647058823529411,1,2
1,499.2,1,0.54,12,5,17,0,24,2,12,3,19.56202665,8,0.7058823529411765,0,7
1,360.96,3,0.54,11,6,17,0,17,4,9,0,23.98921286,8,0.6470588235294118,0,7
1,328.32,3,0.54,16,1,17,3,23,3,5,3,38.04457501,1,0.9411764705882353,1,10
1,380.16,2,0.54,13,4,17,2,9,1,7,3,7.638983843,1,0.7647058823529411,1,7
1,308.16,24,0.54,17,0,17,0,0,0,0,3,70.16489438,1,1.0,0,7
1,145.44,4,0.54,15,2,17,0,17,2,10,3,25.82196499,8,0.8823529411764706,0,7
1,241.92,2,0.54,14,3,17,0,16,3,10,1,15.34099297,1,0.8235294117647058,0,7
1,475.2,4,0.54,12,5,17,4,26,3,13,3,33.36974427,1,0.7058823529411765,1,7
1,380.16,2,0.54,2,15,17,0,0,0,5,3,40.76384882,1,0.11764705882352941,0,10
1,382.08,2,0.54,16,1,17,3,19,2,14,3,35.59152571,5,0.9411764705882353,1,7
1,256.32,2,0.54,12,5,17,0,22,3,11,1,91.28723211,2,0.7058823529411765,0,7
1,473.28,2,0.54,15,2,17,2,11,2,6,3,26.95439108,2,0.8823529411764706,1,7
1,473.28,2,0.54,12,5,17,2,29,2,12,3,6.470041925,2,0.7058823529411765,1,7
1,473.28,4,0.54,16,1,17,4,19,5,12,3,20.41862892,8,0.9411764705882353,1,7
1,846.72,2,0.54,1,16,17,2,0,0,0,0,26.81577166,1,0.058823529411764705,1,10
1,449.28,2,0.54,3,14,17,0,33,1,8,3,22.16910213,8,0.17647058823529413,0,10
1,158.4,2,0.54,3,14,17,0,0,0,0,3,43.41813379,1,0.17647058823529413,0,10
1,475.2,4,0.54,16,1,17,5,0,0,0,3,17.80340804,1,0.9411764705882353,1,7
1,473.28,4,0.54,16,1,17,4,7,2,3,3,18.26041833,5,0.9411764705882353,1,7
1,473.28,3,0.54,14,3,17,3,17,5,7,3,33.71821168,8,0.8235294117647058,1,8
1,499.2,2,0.54,11,6,17,0,23,3,13,3,60.46775549,8,0.6470588235294118,0,7
1,449.28,4,0.54,10,7,17,0,19,2,12,3,47.18384134,8,0.5882352941176471,0,7
1,94.656,1,0.54,4,13,17,0,8,1,4,3,25.19325824,5,0.23529411764705882,0,3
1,473.28,2,0.54,17,0,17,0,30,4,12,3,18.82507069,8,1.0,0,7
1,475.2,4,0.54,13,4,17,3,32,12,15,3,9.302954244,8,0.7647058823529411,1,7
1,449.28,2,0.54,6,11,17,0,24,4,9,3,41.27348804,6,0.35294117647058826,0,10
1,449.28,2,0.54,4,13,17,0,13,1,10,3,20.0917229,8,0.23529411764705882,0,7
1,473.28,2,0.54,17,0,17,0,22,3,12,3,41.38271418,8,1.0,0,7
1,241.92,2,0.54,3,14,17,0,8,1,0,1,19.92903648,1,0.17647058823529413,0,7
1,378.24,5,0.54,15,2,17,0,21,3,7,3,20.49591016,8,0.8823529411764706,0,10
